cq_id,covered,fully_covered,n_tp,n_axioms,rate,tp_axiom_ids,missing_axiom_ids
CQ1,true,false,11,37,0.2973,AX17;AX20;AX40;AX48;AX49;AX52;AX53;AX54;AX75;AX76;AX77,AX19;AX22;AX23;AX24;AX25;AX27;AX29;AX31;AX32;AX33;AX41;AX42;AX43;AX44;AX45;AX46;AX47;AX50;AX51;AX55;AX56;AX61;AX62;AX63;AX71;AX74
CQ2,true,false,2,15,0.1333,AX48;AX75,AX1;AX3;AX4;AX6;AX7;AX12;AX13;AX15;AX16;AX44;AX46;AX47;AX71
CQ6,true,false,6,23,0.2609,AX9;AX11;AX40;AX49;AX52;AX76,AX10;AX25;AX27;AX41;AX42;AX43;AX50;AX51;AX57;AX58;AX59;AX60;AX71;AX74;AX78;AX79;AX80
CQ7,true,false,4,18,0.2222,AX8;AX9;AX11;AX65,AX10;AX34;AX57;AX58;AX59;AX60;AX64;AX66;AX67;AX71;AX72;AX78;AX79;AX80
CQnew1,true,false,1,7,0.1429,AX28,AX1;AX68;AX69;AX70;AX71;AX73
